parentname	parentname	guidename
https://libguides.macewan.ca/c.php?g=493703	https://libguides.macewan.ca/accounting	Accounting & Finance
https://libguides.macewan.ca/c.php?g=493625	https://libguides.macewan.ca/acupuncture	Acupuncture
https://libguides.macewan.ca/c.php?g=493633	https://libguides.macewan.ca/anthropology	Anthropology
https://libguides.macewan.ca/c.php?g=713382	https://libguides.macewan.ca/apa	APA Citation Guide (7th Ed.)
https://libguides.macewan.ca/c.php?g=493675	https://libguides.macewan.ca/art_history	Art & Art History
https://libguides.macewan.ca/c.php?g=740723	https://libguides.macewan.ca/ai	Artificial Intelligence - Student Guide
https://libguides.macewan.ca/c.php?g=698684	https://libguides.macewan.ca/artistsbooks	Artists' Books
https://libguides.macewan.ca/c.php?g=493639	https://libguides.macewan.ca/agad100	Arts and Cultural Management
https://libguides.macewan.ca/c.php?g=726822	https://libguides.macewan.ca/asa	ASA Citation Guide (6th Ed.)
https://libguides.macewan.ca/c.php?g=493629	https://libguides.macewan.ca/biology	Biology
https://libguides.macewan.ca/c.php?g=493702	https://libguides.macewan.ca/business	Business
https://libguides.macewan.ca/c.php?g=735002	https://libguides.macewan.ca/legalcitation	Canadian Guide to Uniform Legal Citation (9th Ed.)
https://libguides.macewan.ca/c.php?g=731056	https://libguides.macewan.ca/CTL_ReadingList	Centre for Teaching and Learning Reading List
https://libguides.macewan.ca/c.php?g=493628	https://libguides.macewan.ca/chemistry	Chemistry
https://libguides.macewan.ca/c.php?g=493614	https://libguides.macewan.ca/cycw	Child and Youth Care
https://libguides.macewan.ca/c.php?g=493611	https://libguides.macewan.ca/classics	Classics
https://libguides.macewan.ca/c.php?g=493638	https://libguides.macewan.ca/communication	Communication Studies
https://libguides.macewan.ca/c.php?g=493671	https://libguides.macewan.ca/comp_sci	Computer Science
https://libguides.macewan.ca/c.php?g=730647	https://libguides.macewan.ca/copyright-friendly	Copyright-Friendly Sources
https://libguides.macewan.ca/c.php?g=493683	https://libguides.macewan.ca/correctional_services	Correctional Services
https://libguides.macewan.ca/c.php?g=728051	https://libguides.macewan.ca/crl	Course Resource Lists
https://libguides.macewan.ca/c.php?g=536557	https://libguides.macewan.ca/data_stats	Data and Statistics
https://libguides.macewan.ca/c.php?g=493677	https://libguides.macewan.ca/design	Design Studies
https://libguides.macewan.ca/c.php?g=703658	https://libguides.macewan.ca/digitalhumanities	Digital Humanities
https://libguides.macewan.ca/c.php?g=493685	https://libguides.macewan.ca/early_learning	Early Childhood Curriculum Studies
https://libguides.macewan.ca/c.php?g=493669	https://libguides.macewan.ca/earth	Earth and Planetary Sciences
https://libguides.macewan.ca/c.php?g=493617	https://libguides.macewan.ca/economics	Economics
https://libguides.macewan.ca/c.php?g=493687	https://libguides.macewan.ca/education	Education
https://libguides.macewan.ca/c.php?g=493698	https://libguides.macewan.ca/special_needs	Educational Assistant
https://libguides.macewan.ca/c.php?g=493689	https://libguides.macewan.ca/emergency	Emergency Communications and Response
https://libguides.macewan.ca/c.php?g=493667	https://libguides.macewan.ca/engineering	Engineering
https://libguides.macewan.ca/c.php?g=474827	https://libguides.macewan.ca/english	English
https://libguides.macewan.ca/c.php?g=493691	https://libguides.macewan.ca/esl	English as an Additional Language
https://libguides.macewan.ca/c.php?g=703542	https://libguides.macewan.ca/genderstudies	Gender Studies
https://libguides.macewan.ca/c.php?g=493618	https://libguides.macewan.ca/hearing_aid_practitioner	Hearing Aid Practitioner
https://libguides.macewan.ca/c.php?g=493610	https://libguides.macewan.ca/history	History
https://libguides.macewan.ca/c.php?g=493704	https://libguides.macewan.ca/human_resources	Human Resources Management
https://libguides.macewan.ca/c.php?g=493652	https://libguides.macewan.ca/human_services	Human Service Administration
https://libguides.macewan.ca/c.php?g=712420	https://libguides.macewan.ca/indigenous_languages	Indigenous Languages
https://libguides.macewan.ca/c.php?g=493619	https://libguides.macewan.ca/indigenous_studies	Indigenous Studies
https://libguides.macewan.ca/c.php?g=493608	https://libguides.macewan.ca/insurance	Insurance and Risk Management
https://libguides.macewan.ca/c.php?g=493636	https://libguides.macewan.ca/journalism	Journalism
https://libguides.macewan.ca/c.php?g=493612	https://libguides.macewan.ca/languages	Languages
https://libguides.macewan.ca/c.php?g=493621	https://libguides.macewan.ca/legal	Legal Studies
https://libguides.macewan.ca/c.php?g=493694	https://libguides.macewan.ca/imlt	Library and Information Technology
https://libguides.macewan.ca/c.php?g=742934	https://libguides.macewan.ca/librarysearch	Library Search
https://libguides.macewan.ca/c.php?g=477785	https://libguides.macewan.ca/MBY	MacEwan Book of the Year
https://libguides.macewan.ca/c.php?g=493616	https://libguides.macewan.ca/mtst	Massage Therapy
https://libguides.macewan.ca/c.php?g=493630	https://libguides.macewan.ca/math	Mathematics and Statistics
https://libguides.macewan.ca/c.php?g=737805	https://libguides.macewan.ca/mla	MLA Citation Guide (9th ed.)
https://libguides.macewan.ca/c.php?g=493622	https://libguides.macewan.ca/music	Music
https://libguides.macewan.ca/c.php?g=493650	https://libguides.macewan.ca/nursing	Nursing
https://libguides.macewan.ca/c.php?g=715259	https://libguides.macewan.ca/online_learning_opportunities	Online Learning Opportunities
https://libguides.macewan.ca/c.php?g=493623	https://libguides.macewan.ca/philosophy	Philosophy
https://libguides.macewan.ca/c.php?g=493634	https://libguides.macewan.ca/physed	Physical Education and Health
https://libguides.macewan.ca/c.php?g=493631	https://libguides.macewan.ca/physics	Physics and Astronomy
https://libguides.macewan.ca/c.php?g=493696	https://libguides.macewan.ca/police	Police and Investigations
https://libguides.macewan.ca/c.php?g=493632	https://libguides.macewan.ca/polisci	Political Science
https://libguides.macewan.ca/c.php?g=493635	https://libguides.macewan.ca/psychology	Psychology
https://libguides.macewan.ca/c.php?g=493706	https://libguides.macewan.ca/public_relations	Public Relations
https://libguides.macewan.ca/c.php?g=723115	https://libguides.macewan.ca/rdm	Research Data Management
https://libguides.macewan.ca/c.php?g=699752	https://libguides.macewan.ca/robbins	Robbins Workshops
https://libguides.macewan.ca/c.php?g=493615	https://libguides.macewan.ca/social_work	Social Work
https://libguides.macewan.ca/c.php?g=493624	https://libguides.macewan.ca/sociology	Sociology
https://libguides.macewan.ca/c.php?g=707901	https://libguides.macewan.ca/sustainability	Sustainability
https://libguides.macewan.ca/c.php?g=493679	https://libguides.macewan.ca/theatre_arts	Theatre Arts
https://libguides.macewan.ca/c.php?g=493681	https://libguides.macewan.ca/theatre_production	Theatre Production
https://libguides.macewan.ca/c.php?g=493627	https://libguides.macewan.ca/therapist	Therapist Assistant
https://libguides.macewan.ca/c.php?g=493700	https://libguides.macewan.ca/travel	Travel
https://libguides.macewan.ca/c.php?g=729269	https://libguides.macewan.ca/URDC	Ukrainian Resource and Development Centre (URDC)
https://libguides.macewan.ca/c.php?g=493693	https://libguides.macewan.ca/university_prep	University Preparation
https://libguides.macewan.ca/c.php?g=742815	https://libguides.macewan.ca/writing_guides	Writing Guides
